id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,first_trade,first_priced_at
QRL,QRL,QRL,Quantum Resistant Ledger,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/qrl.svg,active,0.12971764,2020-12-06T00:00:00Z,2020-12-06T20:47:00Z,72747192,105000000,9436594,5,7,0,2017-06-10T00:00:00Z,2018-09-12T00:00:00Z,334,-4,4.24943594,2018-01-09T00:00:00Z,1035210.49,-0.00160405,-0.0122,255964.68,0.3285,-115622.29,-0.0121,2017-11-22T00:00:00Z,
PPT,PPT,PPT,Populous,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ppt.svg,active,0.25613695,2020-12-06T00:00:00Z,2020-12-06T20:50:00Z,36226899,53252246,9279047,28,57,0,2017-09-19T00:00:00Z,2018-08-29T00:00:00Z,335,-7,75.10920507,2018-01-28T00:00:00Z,729570.62,-0.01279322,-0.0476,-155004.45,-0.1752,-463458.54,-0.0476,2017-09-19T00:00:00Z,
ETP,ETP,ETP,Metaverse ETP,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/etp.svg,active,0.11423231,2020-12-06T00:00:00Z,2020-12-06T20:48:00Z,79428690,100000000,9073323,13,34,0,2017-09-20T00:00:00Z,2018-09-07T00:00:00Z,336,1,5.65614942,2017-10-19T00:00:00Z,85665.87,0.00173980,0.0155,-25144.75,-0.2269,138841.76,0.0155,2017-09-20T00:00:00Z,
BULL,BULL,BULL,BuySell,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BULL.jpg,active,1.78518593,2020-12-06T00:00:00Z,2020-12-06T20:48:00Z,5036224,100000000,8990597,8,12,0,2019-06-07T00:00:00Z,2019-06-07T00:00:00Z,337,4,36.49145513,2019-12-18T00:00:00Z,83662.12,0.03756766,0.0215,32286.78,0.6284,189204.94,0.0215,2020-03-28T00:00:00Z,
XPX,XPX,XPX,ProximaX,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/XPX.png,active,0.00137180,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,6481627987,9000000000,8891492,4,6,0,2019-05-16T00:00:00Z,2020-02-13T00:00:00Z,338,0,0.00763843,2019-06-20T00:00:00Z,189120.00,0.00000882,0.0065,-2957.44,-0.0154,57190.30,0.0065,2020-03-19T00:00:00Z,
SKY,SKY,SKY,Skycoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/sky.svg,active,0.46707074,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,19000000,100000000,8874344,12,25,0,2018-05-24T00:00:00Z,2018-08-29T00:00:00Z,339,-5,24.71919234,2018-06-06T00:00:00Z,373254.85,-0.02052546,-0.0421,-59047.48,-0.1366,-389983.70,-0.0421,2018-05-24T00:00:00Z,
GRID,GRID,GRID,Grid+,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/grid.jpg,active,0.22408736,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,39266491,300000000,8799124,7,7,0,2018-01-06T00:00:00Z,2020-04-10T00:00:00Z,340,6,2.93580041,2018-01-08T00:00:00Z,129837.24,0.00292181,0.0132,13192.64,0.1131,114729.15,0.0132,2018-01-06T00:00:00Z,
VITE,VITE,VITE,VITE,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/vite.png,active,0.01543911,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,569713498,1001218287,8795870,8,27,7,2017-07-09T00:00:00Z,2019-01-15T00:00:00Z,341,1,0.12629168,2018-07-07T00:00:00Z,491499.55,0.00002195,0.0014,-8063.19,-0.0161,13191.64,0.0015,2018-06-24T00:00:00Z,
AOA2,AOA2,AOA,Aurora,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AOA.png,active,0.00201686,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,4345218905,10000000000,8763697,7,11,0,2018-06-22T00:00:00Z,2019-06-18T00:00:00Z,342,1,0.03510580,2019-06-30T00:00:00Z,561182.62,-0.00000424,-0.0021,-154661.14,-0.2161,-18430.73,-0.0021,,
SRN,SRN,SRN,SIRIN LABS Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/srn.svg,active,0.01632570,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,532779059,572166103,8697992,16,32,0,2018-01-21T00:00:00Z,2018-09-12T00:00:00Z,343,-7,3.99675309,2018-01-22T00:00:00Z,1183965.32,-0.00083317,-0.0486,-1928952.91,-0.6197,-443894.46,-0.0486,2018-01-21T00:00:00Z,
VALOR,VALOR,VALOR,Valor Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/valor.jpg,active,0.33083523,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,26250773,75000000,8684680,6,6,0,2019-04-18T00:00:00Z,2019-06-04T00:00:00Z,344,8,9.37897553,2019-04-20T00:00:00Z,194915.75,0.02805626,0.0927,35634.64,0.2237,736498.44,0.0927,2019-04-18T00:00:00Z,
SEELE,SEELE,SEELE,Seele,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/seele.jpg,active,0.01234044,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,700000000,1000000000,8638305,14,29,0,2018-05-29T00:00:00Z,2019-02-15T00:00:00Z,345,-12,0.28961930,2018-05-31T00:00:00Z,25866648.54,-0.00099897,-0.0749,-14044627.17,-0.3519,-699281.11,-0.0749,2018-05-29T00:00:00Z,
RFUEL,RFUEL,RFUEL,Rio DeFi,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/RFUEL.jpeg,active,0.04814757,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,179130000,179130000,8624674,13,18,0,2020-09-28T00:00:00Z,2020-09-28T00:00:00Z,346,-1,0.18828273,2020-09-28T00:00:00Z,1476254.52,-0.00036689,-0.0076,-446633.54,-0.2323,-65720.30,-0.0076,2020-09-28T00:00:00Z,
PAC,PAC,PAC,PACcoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/$PAC.png,active,0.00067436,2020-12-06T00:00:00Z,2020-12-06T20:50:00Z,12734409223,50000000000,8587571,16,47,0,2019-03-09T00:00:00Z,2019-06-04T00:00:00Z,347,16,0.00082990,2020-09-11T00:00:00Z,2126.02,0.00009397,0.1619,-1826.75,-0.4621,1199361.58,0.1623,2019-03-09T00:00:00Z,
SAN,SAN,SAN,Santiment Network Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/san.svg,active,0.13335672,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,64048080,83337000,8541242,13,27,0,2017-06-29T00:00:00Z,2018-09-07T00:00:00Z,348,-13,7.64060041,2018-01-06T00:00:00Z,8100.64,-0.00976047,-0.0682,-7659.31,-0.4860,-625139.47,-0.0682,2017-06-29T00:00:00Z,
NAV,NAV,NAV,NAV Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/nav.svg,active,0.12074827,2020-12-06T00:00:00Z,2020-12-06T20:48:00Z,70331391,,8492394,15,27,0,2014-06-25T00:00:00Z,2018-08-29T00:00:00Z,349,-9,4.81192740,2018-01-12T00:00:00Z,73961.36,-0.00461439,-0.0368,-125902.74,-0.6299,-323668.75,-0.0367,2014-06-25T00:00:00Z,
TEL,TEL,TEL,Telcoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/tel.svg,active,0.00016478,2020-12-06T00:00:00Z,2020-12-06T20:47:00Z,51255406904,100000000000,8446035,11,22,0,2018-01-12T00:00:00Z,2019-06-05T00:00:00Z,350,-11,0.01089327,2018-01-20T00:00:00Z,119450.68,-0.00000752,-0.0437,27200.30,0.2949,-385620.61,-0.0437,2018-01-12T00:00:00Z,
DMT,DMT,DMT,DMarket,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/dmt.svg,active,0.16514884,2020-12-06T00:00:00Z,2020-12-06T20:05:00Z,51135950,56921773,8445043,9,18,0,2018-01-29T00:00:00Z,2018-09-12T00:00:00Z,351,-2,2.22431074,2018-01-29T00:00:00Z,350717.76,-0.00000006,-0.0000,-84334.05,-0.1938,-2.97,-0.0000,2018-01-29T00:00:00Z,
PLA3,PLA3,PLA,PlayDapp Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/PLA3.jpg,active,0.16883966,2020-12-06T00:00:00Z,2020-12-06T19:15:00Z,50000000,2500000000,8441983,1,2,0,2020-09-10T00:00:00Z,2020-09-10T00:00:00Z,352,-5,0.33059752,2020-09-16T00:00:00Z,755199.57,-0.00276758,-0.0161,-1375724.70,-0.6456,-138379.05,-0.0161,,
SENT,SENT,SENT,Sentinel,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/sent.png,active,0.00408093,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,1999970000,1999970000,8161730,8,19,0,2018-02-10T00:00:00Z,2019-06-04T00:00:00Z,353,36,0.02511885,2018-05-03T00:00:00Z,47124.68,0.00091448,0.2888,21179.78,0.8163,1828928.51,0.2888,2018-02-10T00:00:00Z,
OST,OST,OST,Simple Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ost.jpg,active,0.01173600,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,691519032,800000000,8115669,13,22,0,2017-12-19T00:00:00Z,2018-08-29T00:00:00Z,354,-6,1.30444547,2018-01-10T00:00:00Z,2506212.04,-0.00049565,-0.0405,-7487858.80,-0.7492,-342752.19,-0.0405,2017-12-19T00:00:00Z,
GHST,GHST,GHST,Aavegotchi,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/GHST.png,active,0.52678429,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,15328060,22328023,8074581,15,18,0,2020-09-15T00:00:00Z,2020-09-15T00:00:00Z,355,0,0.87587537,2020-09-15T00:00:00Z,21391805.32,0.00861563,0.0166,-1890132.58,-0.0812,265215.21,0.0340,2020-09-22T00:00:00Z,
SMART,SMART,SMART,SmartCash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/smart.svg,active,0.00360266,2020-12-06T00:00:00Z,2020-12-06T20:45:00Z,2241009149,5000000000,8073597,14,61,0,2017-10-30T00:00:00Z,2019-03-14T00:00:00Z,356,-6,2.06718511,2018-01-17T00:00:00Z,116944.14,-0.00010992,-0.0296,30113.93,0.3468,-246327.12,-0.0296,2017-10-30T00:00:00Z,
FOAM,FOAM,FOAM,FOAM Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/foam.jpg,active,0.02304597,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,348764521,1000000000,8037618,9,12,0,2018-12-10T00:00:00Z,2018-12-11T00:00:00Z,357,-4,0.07025762,2020-09-01T00:00:00Z,21091.45,0.00029539,0.0130,-4180.98,-0.1654,103021.03,0.0130,2018-12-10T00:00:00Z,
SNL,SNL,SNL,Sport and Leisure,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/SNL.png,active,0.03272080,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,244734725,963252000,8007916,4,7,0,2019-06-07T00:00:00Z,2019-06-07T00:00:00Z,358,0,0.03471051,2020-11-23T00:00:00Z,540176.01,0.00104557,0.0330,84526.60,0.1855,255886.30,0.0330,,
DOCK,DOCK,DOCK,Dock,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/dock.png,active,0.01405849,2020-12-06T00:00:00Z,2020-12-06T20:50:00Z,559891807,1000000000,7871231,19,37,0,2018-04-25T00:00:00Z,2018-08-29T00:00:00Z,359,-2,0.21538482,2018-05-06T00:00:00Z,3423401.77,0.00014553,0.0105,-865499.20,-0.2018,81478.99,0.0105,2018-04-25T00:00:00Z,
