id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,market_cap,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,max_supply,first_trade
SUSD,SUSD,SUSD,sUSD,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/SUSD.png,active,1.01151925,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,69217097,70014426,10,61,2,2018-07-13T00:00:00Z,2019-05-15T00:00:00Z,134,-1,1.21538873,2019-02-19T00:00:00Z,4876494.71,0.01331011,0.0133,-5655018.30,-0.5370,1784761.02,0.0262,69217097,2019-05-15T00:00:00Z
BNANA,BNANA,BNANA,Chimpion,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/bnana.jpg,active,1.82250493,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,37451536,68255608,7,11,0,2019-05-06T00:00:00Z,2019-06-07T00:00:00Z,135,-3,1.83778658,2020-11-30T00:00:00Z,449137.63,-0.03118158,-0.0168,11265.92,0.0257,-1167797.96,-0.0168,100000000000,
CHZ,CHZ,CHZ,Chiliz,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CHZ.png,active,0.01272377,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,5344064580,67996663,34,83,9,2019-06-29T00:00:00Z,2019-07-17T00:00:00Z,136,1,0.01992606,2020-08-17T00:00:00Z,17109723.15,0.00062523,0.0517,9069017.19,1.1279,3341293.75,0.0517,8888888888,2019-06-29T00:00:00Z
KCS,KCS,KCS,KuCoin Shares,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/kcs.jpg,active,0.84184885,2020-12-02T00:00:00Z,2020-12-02T21:07:00Z,80118638,67447784,9,26,0,2017-09-17T00:00:00Z,2019-06-04T00:00:00Z,137,-2,20.65499720,2018-01-10T00:00:00Z,7317969.00,0.01645465,0.0199,810976.80,0.1246,1318324.35,0.0199,170118638,2020-03-26T00:00:00Z
ARK,ARK,ARK,Ark,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ark.svg,active,0.43452085,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,153755412,66809932,22,204,38,2017-03-21T00:00:00Z,2018-08-29T00:00:00Z,138,-2,10.32204309,2018-01-10T00:00:00Z,3193241.74,0.01091862,0.0258,-1534855.74,-0.3246,1687821.68,0.0259,,2017-11-01T00:00:00Z
UBT,UBT,UBT,Unibright,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ubt.jpg,active,0.46409120,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,139600000,64787131,16,39,2,2018-05-20T00:00:00Z,2019-05-10T00:00:00Z,139,0,0.56566363,2020-05-23T00:00:00Z,1706295.94,0.01643815,0.0367,-372606.31,-0.1792,2294765.76,0.0367,150000000,2018-05-20T00:00:00Z
BTS,BTS,BTS,BitShares,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/bts.svg,active,0.02347322,2020-12-02T00:00:00Z,2020-12-02T21:09:00Z,2710195992,63617036,43,178,0,2014-08-16T00:00:00Z,2018-08-29T00:00:00Z,140,-2,0.88567903,2018-01-03T00:00:00Z,8857905.74,0.00037571,0.0163,-5371893.16,-0.3775,1018256.98,0.0163,3600570502,2014-08-16T00:00:00Z
ANKR,ANKR,ANKR,Ankr,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ankr.png,active,0.00992980,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,6329566044,62851298,34,74,0,2017-07-09T00:00:00Z,2019-03-05T00:00:00Z,141,-1,0.01662517,2020-08-10T00:00:00Z,13356298.61,0.00051146,0.0543,-5737805.45,-0.3005,3237341.10,0.0543,10000000000,2019-03-05T00:00:00Z
LPT,LPT,LPT,livepeer,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/lpt.jpg,active,2.60390371,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,22723969,59171027,11,21,0,2018-12-19T00:00:00Z,2018-12-19T00:00:00Z,142,34,9.35921894,2018-12-20T00:00:00Z,851792.86,0.87441703,0.5056,221197.49,0.3508,19880334.32,0.5060,22723969,2018-12-19T00:00:00Z
TOMO,TOMO,TOMO,TomoChain,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/TOMO.png,active,0.76555531,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,76198450,58334128,27,61,0,2018-03-01T00:00:00Z,2019-06-05T00:00:00Z,143,4,2.11573711,2018-05-03T00:00:00Z,5152630.27,0.05517252,0.0777,-1742733.13,-0.2527,4210773.73,0.0778,100000000,2018-03-01T00:00:00Z
FTM,FTM,FTM,Fantom,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ftm.png,active,0.02291305,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,2536463262,58118119,34,79,1,2018-10-28T00:00:00Z,2019-06-04T00:00:00Z,144,5,0.05517265,2020-09-02T00:00:00Z,5220874.41,0.00189936,0.0904,-3645288.47,-0.4111,4828169.08,0.0906,3175000000,2018-10-29T00:00:00Z
WAXP,WAXP,WAXP,WAX Protocol Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/WAX.png,active,0.04048656,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,1417377475,57384732,17,44,0,2018-01-04T00:00:00Z,2018-09-07T00:00:00Z,145,1,2.32162114,2018-01-15T00:00:00Z,2716936.85,0.00223332,0.0584,452204.13,0.1997,3186180.20,0.0588,3728232206,2018-01-04T00:00:00Z
IRIS,IRIS,IRIS,IRIS Network,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/iris.jpg,active,0.06313020,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,898555319,56725979,15,34,0,2019-03-12T00:00:00Z,2019-04-09T00:00:00Z,146,-1,0.26320344,2019-04-08T00:00:00Z,2330780.10,0.00260800,0.0431,-1481804.03,-0.3887,2348827.64,0.0432,1993957077,2019-10-28T00:00:00Z
