id,market_cap,daily_volume,market_cap_percent,market_cap_$,daily_volume_$,mcap_percent
ARK,66809932,3193241.74,0.01,$0.07B,$0.00B,$0.07B (0.01%)
UBT,64787131,1706295.94,0.01,$0.06B,$0.00B,$0.06B (0.01%)
BTS,63617036,8857905.74,0.01,$0.06B,$0.01B,$0.06B (0.01%)
ANKR,62851298,13356298.61,0.01,$0.06B,$0.01B,$0.06B (0.01%)
LPT,59171027,851792.86,0.01,$0.06B,$0.00B,$0.06B (0.01%)
TOMO,58334128,5152630.27,0.01,$0.06B,$0.01B,$0.06B (0.01%)
FTM,58118119,5220874.41,0.01,$0.06B,$0.01B,$0.06B (0.01%)
WAXP,57384732,2716936.85,0.01,$0.06B,$0.00B,$0.06B (0.01%)
IRIS,56725979,2330780.1,0.01,$0.06B,$0.00B,$0.06B (0.01%)
ELF,56202095,34943770.11,0.01,$0.06B,$0.03B,$0.06B (0.01%)
PNK,55915887,1068063.11,0.01,$0.06B,$0.00B,$0.06B (0.01%)
STORJ,54616717,23556904.45,0.01,$0.05B,$0.02B,$0.05B (0.01%)
TTT2,54140117,1847580.66,0.01,$0.05B,$0.00B,$0.05B (0.01%)
UTK,53751495,2869452.88,0.01,$0.05B,$0.00B,$0.05B (0.01%)
POLY,53324480,2414034.91,0.01,$0.05B,$0.00B,$0.05B (0.01%)
AGI,52909777,799429.1,0.01,$0.05B,$0.00B,$0.05B (0.01%)
SHR,52116661,1729297.62,0.01,$0.05B,$0.00B,$0.05B (0.01%)
ETN,51455146,1411932.16,0.01,$0.05B,$0.00B,$0.05B (0.01%)
NRG,50913359,1544257.86,0.01,$0.05B,$0.00B,$0.05B (0.01%)
NPXS,48936403,6020725.96,0.01,$0.05B,$0.01B,$0.05B (0.01%)
SYS,48478977,3734880.94,0.01,$0.05B,$0.00B,$0.05B (0.01%)
UQC,47316899,6179852.75,0.01,$0.05B,$0.01B,$0.05B (0.01%)
RPL,47204015,1477042.39,0.01,$0.05B,$0.00B,$0.05B (0.01%)
TRAC,47127471,280017.79,0.01,$0.05B,$0.00B,$0.05B (0.01%)
AE,47056091,9893028.48,0.01,$0.05B,$0.01B,$0.05B (0.01%)
XZC,47012663,2280441.09,0.01,$0.05B,$0.00B,$0.05B (0.01%)
CORE2,46641099,737856.21,0.01,$0.05B,$0.00B,$0.05B (0.01%)
ZB,46323580,5131043.98,0.01,$0.05B,$0.01B,$0.05B (0.01%)
POWR,46131032,5415727.26,0.01,$0.05B,$0.01B,$0.05B (0.01%)
IOTX,45752319,8694349.35,0.01,$0.05B,$0.01B,$0.05B (0.01%)
WAN,44183051,1813505.98,0.01,$0.04B,$0.00B,$0.04B (0.01%)
DNT,43163939,16305730.9,0.01,$0.04B,$0.02B,$0.04B (0.01%)
TRB,42159319,33093041.92,0.01,$0.04B,$0.03B,$0.04B (0.01%)
HC,41097328,9852984.71,0.01,$0.04B,$0.01B,$0.04B (0.01%)
HARMONY,40296518,3734416.74,0.01,$0.04B,$0.00B,$0.04B (0.01%)
SOLVE,39999558,2408285.59,0.01,$0.04B,$0.00B,$0.04B (0.01%)
LTO,39540549,13201096.97,0.01,$0.04B,$0.01B,$0.04B (0.01%)
MWC,39351172,389379.79,0.01,$0.04B,$0.00B,$0.04B (0.01%)
HXRO,38857952,534270.21,0.01,$0.04B,$0.00B,$0.04B (0.01%)
EURS,38760486,366642.25,0.01,$0.04B,$0.00B,$0.04B (0.01%)
NEC,38422466,96863.7,0.01,$0.04B,$0.00B,$0.04B (0.01%)
AION,37315895,820899.23,0.01,$0.04B,$0.00B,$0.04B (0.01%)
VLX,36959025,699544.83,0.01,$0.04B,$0.00B,$0.04B (0.01%)
FET,36730791,3436713.94,0.01,$0.04B,$0.00B,$0.04B (0.01%)
