id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,first_priced_at
CRO,CRO,CRO,Crypto.com Chain,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/cro.jpg,active,0.06614917,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,21978995432,100000000000.0,1453892236,48,132,0,2019-03-07T00:00:00Z,2019-03-08T00:00:00Z,2019-03-08T00:00:00Z,23,0,0.18190063,2020-09-01T00:00:00Z,49290071.91,0.00080169,0.0123,-14472417.13,-0.227,18694464.42,0.013,
FIL,FIL,FIL,Filecoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/FIL.png,active,30.38444111,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,44584205,2000000000.0,1354666151,49,98,0,2017-11-03T00:00:00Z,2017-11-23T00:00:00Z,2019-06-04T00:00:00Z,24,0,61.74092741,2020-10-15T00:00:00Z,183726233.59,0.38075896,0.0127,-62517626.89,-0.2539,16975835.48,0.0127,
LEO,LEO,LEO,UNUS SED LEO,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/leotoken.png,active,1.36315097,2020-12-02T00:00:00Z,2020-12-02T20:59:00Z,973229883,985239504.0,1326659255,28,77,1,2019-05-20T00:00:00Z,2019-05-20T00:00:00Z,2019-05-20T00:00:00Z,25,0,1.97050909,2019-06-12T00:00:00Z,12487957.17,0.00889793,0.0066,-2337994.75,-0.1577,8596626.55,0.0065,
ATOM,ATOM,ATOM,Cosmos,https://nomics-api.s3.us-east-2.amazonaws.com/static/images/currencies/atom.jpg,active,5.48440352,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,238526147,,1308173640,78,195,0,2017-07-09T00:00:00Z,2019-04-22T00:00:00Z,2019-03-14T00:00:00Z,26,0,8.4941897,2020-08-23T00:00:00Z,249655765.04,0.1531506,0.0287,-24823599.06,-0.0904,36530421.76,0.0287,
NEO,NEO,NEO,NEO,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/neo.svg,active,18.15251387,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,70530000,100000000.0,1280296803,111,364,3,2016-10-26T00:00:00Z,2017-07-14T00:00:00Z,2018-08-29T00:00:00Z,27,0,190.4463269,2018-01-15T00:00:00Z,406084721.93,0.23641177,0.0132,-105171159.77,-0.2057,16674122.06,0.0132,
CEL,CEL,CEL,Celsius,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/cel.jpg,active,2.44116952,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,497139990,695658161.0,1213602991,17,35,0,2018-04-24T00:00:00Z,2018-04-24T00:00:00Z,2019-06-12T00:00:00Z,28,0,2.56900472,2020-11-23T00:00:00Z,5357755.61,-0.01401482,-0.0057,630361.65,0.1333,-6967326.28,-0.0057,
DAI,DAI,DAI,Dai,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/DAI.svg,active,1.00520795,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,1077410034,1077410034.0,1083021132,109,644,68,2017-12-22T00:00:00Z,2017-12-22T00:00:00Z,2018-09-07T00:00:00Z,29,0,1.15249389,2018-04-07T00:00:00Z,112552113.13,0.01026534,0.0103,-62923994.52,-0.3586,31062426.42,0.0295,
VET,VET,VET,VeChain Thor,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/vet.png,active,0.01660361,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,64850448123,86712634466.0,1076751233,46,147,4,2018-07-13T00:00:00Z,2018-07-24T00:00:00Z,2018-08-29T00:00:00Z,30,1,0.02647808,2018-07-29T00:00:00Z,159420736.77,0.00158196,0.1053,-19201448.73,-0.1075,102590777.5,0.1053,
DASH,DASH,DASH,Dash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/dash.svg,active,105.29765046,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,9847088,18920000.0,1036875246,177,719,129,2014-02-07T00:00:00Z,2014-02-07T00:00:00Z,2018-08-29T00:00:00Z,31,-1,1440.89933983,2017-12-20T00:00:00Z,580520257.39,-1.24953622,-0.0117,-273164321.18,-0.32,-12139548.68,-0.0116,
AAVE,AAVE,AAVE,Aave,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AAVE.jpg,active,86.56606386,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,11926168,16000000.0,1032401394,51,106,0,2020-10-03T00:00:00Z,2020-10-07T00:00:00Z,2020-10-04T00:00:00Z,32,2,87.1209871,2020-12-02T00:00:00Z,311785804.18,10.89201318,0.1439,112623664.84,0.5655,130937061.67,0.1452,
